Mom,ID,f.ind,Mi,RGR23,RGR29,RGR11,RGR17,RGR35,expt
20,1,20_1,10.06,0.025898229,0.027109941,0.005986184,NA,NA,July 8 2023
20,2,20_2,10.6,0.016853695,0.013818821,0.00548768,0.007753859,0.032090687,July 8 2023
20,3,20_3,15.38,0.022088755,0.004088818,0.000866786,0.011532761,0.019754271,July 8 2023
20,4,20_4,15.79,0.022522668,0.025983386,0.005692132,0.011410647,0.033942751,July 8 2023
20,5,20_5,10.16,0.027095971,0.001984621,0.011569994,0.003644964,0.022168252,July 8 2023
20,6,20_6,10.1,0.021130797,0.032421272,0.008099404,-0.002617675,0.021088047,July 8 2023
20,7,20_7,8.18,0.026486799,0.025373294,0.002500814,0.011059145,0.030959182,July 8 2023
20,8,20_8,10.36,0.022281839,0.025117272,0.007336374,0.00680446,0.046539501,July 8 2023
20,9,20_9,8.4,0.015623112,0.049559655,0.003913663,0.005901286,0.022638671,July 8 2023
20,10,20_10,9.09,0.011546818,0.037506713,0.009410174,0.002866227,0.030305904,July 8 2023
20,11,20_11,11.35,0.025690756,0.014637098,0.006175143,0.01597423,0.01516026,July 8 2023
20,12,20_12,11.52,0.018896244,0.035746555,-0.003188437,0.016848279,0.036489268,July 8 2023
20,13,20_13,12.26,0.017473088,0.033515843,-0.002171714,0.013186823,0.052045551,July 8 2023
20,14,20_14,17.63,0.0320401,0.020641939,0.005560025,0.006413641,0.031386012,July 8 2023
20,15,20_15,14.62,0.030237516,0.02505319,0.002060777,0.013050456,-0.001240199,July 8 2023
25,1,25_1,8.03,0.021668415,0.02286094,-0.000157559,0.01382436,0.038067611,July 8 2023
25,2,25_2,11.38,0.030810836,0.023852447,0.003654898,0.011961513,0.01653755,July 8 2023
25,3,25_3,7.89,0.016422771,0.041846311,0.004714679,0.013523021,0.008536722,July 8 2023
25,4,25_4,8.51,0.031858628,0.034817744,0.006817191,0.00340091,0.025618187,July 8 2023
25,5,25_5,7.17,0.021073718,0.028784461,0.005767736,0.006128902,0.023381266,July 8 2023
25,6,25_6,7.03,0.018270168,0.036583187,0.004553584,0.010692974,0.028722208,July 8 2023
25,7,25_7,7.87,0.035563484,-0.00026319,0.008647442,0.001370498,0.02617048,July 8 2023
25,8,25_8,10.94,0.02831097,0.011655589,0.010069854,0.004337516,0.04832996,July 8 2023
25,9,25_9,14.26,0.019240874,0.033787085,0.010953044,0.014898015,-0.006613644,July 8 2023
25,10,25_10,6.81,0.01257618,0.034220781,0.01104699,0.010705092,0.006723269,July 8 2023
25,11,25_11,10.14,0.021929537,0.028476732,0.006849673,0.003915391,0.047978923,July 8 2023
25,12,25_12,8,0.030018406,0.020423219,0.004826695,0.012859011,0.055466725,July 8 2023
26,1,26_1,14.6,0.020082825,0.016408948,-0.00178472,0.018793319,0.02805812,July 8 2023
26,2,26_2,16.43,0.026018769,0.014174881,0.004815361,0.005946489,0.043500601,July 8 2023
26,3,26_3,17.71,0.026458267,0.013611264,0.005834224,0.007732039,0.03739515,July 8 2023
26,4,26_4,13.16,0.020992752,0.014717019,0.004012092,0.011195245,0.013341364,July 8 2023
26,5,26_5,17.66,0.010048898,0.040803444,0.001147597,0.012300103,0.010450319,July 8 2023
26,6,26_6,17.79,0.0225721,0.019553371,0.004889332,0.00906676,0.038837063,July 8 2023
26,7,26_7,15.62,0.024486325,0.045636618,0.004588349,0.002646212,0.041627491,July 8 2023
26,8,26_8,13.62,0.023009825,0.03062694,0.004324019,0.008787612,0.008755879,July 8 2023
26,9,26_9,9.18,0.035828147,0.022578805,0.009875173,0.000719504,0.003266575,July 8 2023
26,10,26_10,17.08,0.026253631,0.029850991,0.007064309,0.007261953,0.021786504,July 8 2023
26,11,26_11,18.59,0.038182521,0.022755043,0.004752378,0.007689292,0.025623927,July 8 2023
26,12,26_12,17.7,0.02121624,0.017370444,0.005497638,0.004556601,0.017711866,July 8 2023
27,1,27_1,9.18,0.024895268,0.00349459,0.007520498,0.012852852,0.019837888,July 8 2023
27,2,27_2,10.2,0.026477561,0.026839572,0.001815575,0.014142695,0.026435642,July 8 2023
27,3,27_3,10.53,0.018400559,0.05488115,0.002452983,0.007202373,0.015541025,July 8 2023
27,4,27_4,10.46,0.014845766,0.039192714,0.005031155,0.011055072,0.037380728,July 8 2023
27,5,27_5,11.7,0.023866836,0.016361452,0.009285238,0.009043326,-0.000759796,July 8 2023
27,6,27_6,14.59,0.026276151,0.025956252,0.005876801,0.010027598,-0.001365889,July 8 2023
27,7,27_7,9.89,0.018312739,0.019797024,0.008459344,0.003348303,0.017807318,July 8 2023
27,8,27_8,10.21,0.037092321,0.001511801,0.010258909,-0.001077653,0.017325433,July 8 2023
27,9,27_9,8.55,0.026324067,0.025368531,0.002826881,0.010530857,0.054440077,July 8 2023
27,10,27_10,10.4,0.032410064,0.01499813,0.007481501,-0.002276441,0.066060694,July 8 2023
27,11,27_11,18.96,0.013929459,0.025627236,0.006260056,0.016446472,0.015800732,July 8 2023
27,12,27_12,17.25,0.023367456,0.027624972,0.004016966,0.007057496,0.044448083,July 8 2023
27,13,27_13,7.23,0.016974102,0.025176239,0.001932872,0.015625299,0.040551261,July 8 2023
27,14,27_14,10.29,0.015768119,0.038116404,0.005161117,0.011441221,0.013393992,July 8 2023
27,15,27_15,9.33,0.013177979,0.024279092,0.003920332,0.015160449,0.042544529,July 8 2023
27,16,27_16,10.83,0.019418824,0.033356539,0.008185005,0.006890077,0.011211936,July 8 2023
28,1,28_1,19.46,0.021768744,0.047959415,0.004512166,0.003763687,0.026989039,July 8 2023
28,2,28_2,12.88,0.02492284,0.030890014,0.010543519,0.008726263,0.012245184,July 8 2023
