"","X","UniID","mom","ID","temp","active","instar","time","duration","Mo","fw","time.per","mgain","rgrlog","gr"
"3405",3405,"11.0.1","0",1,11,"y",4,9.466666667,9.466666667,11.45,12.76,"past",1.31,0.00496956208178663,0.138380281685268
"3410",3410,"11.0.2","0",2,11,"y",4,9.466666667,9.466666667,9.53,9.97,"past",0.44,0.00207066102175769,0.0464788732378
"3416",3416,"11.4.1","4",1,11,"y",4,9.466666667,9.466666667,12.32,13.79,"past",1.47,0.00517115052947741,0.155281690135377
"3422",3422,"11.4.11","4",11,11,"y",4,9.466666667,9.466666667,10.42,12.17,"past",1.75,0.00712213302086464,0.184859154923068
"3433",3433,"11.21.1","21",1,11,"y",4,9.466666667,9.466666667,9.87,10.86,"past",0.99,0.00438514146990104,0.10457746478505
"3439",3439,"11.21.2","21",2,11,"y",4,9.466666667,9.466666667,13.14,14.09,"past",0.95,0.00320235505822469,0.100352112672523
"3445",3445,"11.21.3","21",3,11,"y",4,9.466666667,9.466666667,11.22,13.03,"past",1.81,0.00686108015388962,0.191197183091859
"3451",3451,"11.21.4","21",4,11,"y",4,9.466666667,9.466666667,13.22,14.37,"past",1.15,0.00382661756866148,0.121478873235159
"3457",3457,"11.21.5","21",5,11,"y",4,9.466666667,9.466666667,15.32,17.83,"past",2.51,0.00696048357849815,0.265140845061087
"3463",3463,"11.21.6","21",6,11,"y",4,9.466666667,9.466666667,13.77,16.23,"past",2.46,0.0075406246021262,0.259859154920427
"3469",3469,"11.21.181","21",181,11,"y",4,9.466666667,9.466666667,11.44,12.65,"past",1.21,0.00461244729436203,0.12781690140395
"3475",3475,"11.21.182","21",182,11,"y",4,9.466666667,9.466666667,11.07,11.78,"past",0.71,0.00285186650402211,0.0749999999973592
"3481",3481,"11.21.183","21",183,11,"y",4,9.466666667,9.466666667,10.42,11.57,"past",1.15,0.00480270844929327,0.121478873235159
"3483",3483,"11.21.184","21",184,11,"y",4,9.466666667,9.466666667,8.52,8.89,"past",0.37,0.00195022882424615,0.0390845070408773
"3492",3492,"11.25.161","25",161,11,"y",4,9.466666667,9.466666667,15.85,18.93,"past",3.08,0.00814662120499764,0.3253521126646
"3498",3498,"11.25.162","25",162,11,"y",4,9.466666667,9.466666667,14.3,14.92,"past",0.62,0.0019471252469302,0.0654929577441728
"3516",3516,"17.4.10","4",10,17,"y",4,6.55,6.55,13.43,14.29,"past",0.86,0.00411545284309236,0.131297709923664
"3521",3521,"17.5.1","5",1,17,"y",4,6.55,6.55,10.14,12.01,"past",1.87,0.0112221454054334,0.285496183206107
"3526",3526,"17.7.15","7",15,17,"y",4,6.55,6.55,13.2,16.66,"past",3.46,0.0154352772312853,0.52824427480916
"3531",3531,"17.9.11","9",11,17,"y",4,6.55,6.55,13.61,16.67,"past",3.06,0.0134469426907894,0.467175572519084
